id,title,similar_movies,similar_books
1-743,"Lamb: The Gospel According to Biff, Christ's Childhood Pal","['0-165', '0-941', '0-105', '0-4638', '0-591', '0-8643', '0-72331', '0-8960', '0-559']","['1-743', '1-465', '1-504', '1-757', '1-26', '1-499', '1-134', '1-480', '1-174', '1-150']"
1-744,The Power of Now: A Guide to Spiritual Enlightenment,"['0-16320', '0-5915', '0-587', '0-5255', '0-121']","['1-744', '1-180', '1-104', '1-779', '1-743', '1-35', '1-294', '1-757', '1-187', '1-729', '1-9', '1-708', '1-723', '1-481']"
1-745,Let's Pretend This Never Happened: A Mostly True Memoir,"['0-87502', '0-333484', '0-6947', '0-1272']","['1-745', '1-115', '1-179', '1-278', '1-486', '1-571', '1-779', '1-516', '1-258', '1-784', '1-38', '1-669', '1-504', '1-515', '1-467']"
1-746,"The Lies of Locke Lamora (Gentleman Bastard, #1)","['0-1734', '0-45269', '0-36648', '0-810', '0-18823', '0-20662', '0-652']","['1-746', '1-39', '1-135', '1-110', '1-691', '1-165', '1-682', '1-188', '1-598', '1-724', '1-142', '1-123']"
1-747,"Sabriel (Abhorsen,  #1)","['0-120', '0-810', '0-559', '0-121', '0-1927', '0-3933', '0-2270']","['1-747', '1-135', '1-39', '1-266', '1-729', '1-305', '1-188', '1-165', '1-481', '1-104', '1-176', '1-755']"
1-748,"Dead and Gone (Sookie Stackhouse, #9)","['0-64688', '0-17431', '0-215', '0-122', '0-809', '0-6466', '0-36648', '0-11631', '0-38365']","['1-748', '1-197', '1-631', '1-558', '1-652', '1-624', '1-724', '1-527', '1-499', '1-68']"
1-749,The Storyteller,"['0-285783', '0-57201', '0-217', '0-83542', '0-297762', '0-5915']","['1-749', '1-430', '1-408', '1-367', '1-788', '1-522', '1-167', '1-786', '1-192', '1-233', '1-467', '1-344', '1-653']"
1-751,"Life, the Universe and Everything (Hitchhiker's Guide, #3)","['0-7453', '0-9477', '0-2048', '0-762', '0-6114', '0-27205', '0-16320', '0-10200', '0-68726', '0-44912', '0-810']","['1-751', '1-599', '1-337', '1-54', '1-620', '1-384', '1-729', '1-70']"
1-754,Half Broke Horses,"['0-44214', '0-7191', '0-787', '0-350', '0-98566']","['1-754', '1-57', '1-273', '1-78', '1-757', '1-371', '1-179', '1-325', '1-625', '1-653', '1-490', '1-522', '1-398', '1-723']"
1-755,"Mort (Death, #1; Discworld, #4)","['0-1586', '0-10527', '0-285', '0-58', '0-22', '0-27205']","['1-755', '1-612', '1-482', '1-429', '1-628', '1-747', '1-723', '1-104', '1-73', '1-39', '1-232', '1-515', '1-167']"
1-757,Lonesome Dove,"['0-8456', '0-49849', '0-19995', '0-4442', '0-14564', '0-13186', '0-215', '0-1593']","['1-757', '1-295', '1-86', '1-232', '1-725', '1-465', '1-669', '1-743', '1-376', '1-754', '1-6']"
1-760,"Ender's Shadow (Ender's Shadow, #1)","['0-38365', '0-652', '0-2252', '0-640', '0-1966']","['1-760', '1-70', '1-492', '1-167', '1-786', '1-337', '1-258', '1-729', '1-84', '1-325', '1-104', '1-234', '1-110', '1-572']"
1-761,Twenties Girl,"['0-1995', '0-49018', '0-180', '0-1690', '0-508', '0-399019']","['1-761', '1-370', '1-295', '1-241', '1-656', '1-411', '1-708', '1-258', '1-465', '1-436', '1-275', '1-233', '1-522']"
1-762,Schindler's List,"['0-424', '0-423', '0-1495', '0-1272', '0-2253', '0-14574', '0-16869', '0-7551', '0-1593', '0-285783']","['1-762', '1-249', '1-490', '1-241', '1-300', '1-522', '1-239', '1-779', '1-258']"
1-763,The Bluest Eye,"['0-500', '0-14', '0-88', '0-37135', '0-597']","['1-763', '1-205', '1-793', '1-317', '1-410', '1-43', '1-55', '1-8', '1-225', '1-113', '1-66', '1-85', '1-265', '1-476']"
1-764,"The White Queen (The Plantagenet and Tudor Novels, #2)","['0-20662', '0-285', '0-22', '0-587', '0-4442', '0-58', '0-45269']","['1-764', '1-481', '1-322', '1-80', '1-142', '1-494', '1-653', '1-52', '1-654', '1-49', '1-3', '1-628']"
1-768,Shutter Island,"['0-11324', '0-76726', '0-77', '0-644', '0-587', '0-24428', '0-72105', '0-155', '0-74']","['1-768', '1-88', '1-342', '1-455', '1-156', '1-305', '1-91', '1-306', '1-440', '1-52']"
1-772,The Republic,"['0-289', '0-408', '0-15', '0-770', '0-630', '0-1585']","['1-772', '1-478', '1-650', '1-529', '1-597', '1-341', '1-79', '1-576', '1-353', '1-248', '1-479', '1-714', '1-154']"
1-778,The Hunchback of Notre-Dame,['0-62'],"['1-778', '1-498', '1-614', '1-63', '1-109', '1-293', '1-446', '1-257', '1-485', '1-58', '1-83', '1-402', '1-413', '1-103', '1-518', '1-229', '1-194', '1-204']"
1-779,A Fine Balance,"['0-693', '0-333484', '0-6947', '0-587', '0-1272', '0-1562', '0-1597']","['1-779', '1-115', '1-745', '1-723', '1-179', '1-282', '1-436', '1-132', '1-300', '1-617', '1-306', '1-467']"
1-781,"Specials (Uglies, #3)","['0-1593', '0-24428', '0-27576', '0-13885', '0-5876']","['1-781', '1-270', '1-417', '1-196', '1-117', '1-409', '1-627', '1-241', '1-557', '1-499', '1-494', '1-480', '1-368', '1-457']"
1-782,The Awakening,[],"['1-782', '1-71', '1-264', '1-498', '1-650', '1-718', '1-590', '1-171', '1-103', '1-485', '1-172', '1-471', '1-83', '1-402', '1-298', '1-76', '1-230', '1-357', '1-451']"
1-784,For One More Day,['0-1966'],"['1-784', '1-640', '1-708', '1-515', '1-616', '1-467', '1-691', '1-465', '1-60', '1-457', '1-196', '1-57', '1-745', '1-115', '1-499', '1-174', '1-179', '1-118']"
1-786,Falling Up,"['0-22970', '0-4232', '0-7551', '0-82695']","['1-786', '1-243', '1-195', '1-336', '1-760', '1-174', '1-258', '1-429', '1-522', '1-98', '1-234', '1-88', '1-571', '1-45', '1-167']"
1-788,Trainspotting,"['0-627', '0-634', '0-37799', '0-10591', '0-5255', '0-508', '0-107985', '0-44214', '0-1597', '0-253412']","['1-788', '1-268', '1-104', '1-626', '1-309', '1-179', '1-342', '1-340', '1-416']"
1-789,Foundation and Empire (Foundation #2),"['0-311', '0-409', '0-10674', '0-162', '0-1924', '0-9444']","['1-789', '1-126', '1-94', '1-493', '1-168', '1-54', '1-611', '1-395', '1-633', '1-715', '1-311', '1-297', '1-66']"
1-791,House Rules,"['0-9693', '0-755', '0-50619', '0-1562', '0-41630', '0-9806', '0-24428', '0-1124']","['1-791', '1-46', '1-52', '1-150', '1-49', '1-245', '1-56', '1-338', '1-784', '1-336', '1-457']"
1-793,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,"['0-4638', '0-2978', '0-311']","['1-793', '1-205', '1-763', '1-117', '1-504', '1-107', '1-270', '1-738', '1-672', '1-463', '1-265', '1-85', '1-339', '1-8', '1-178', '1-48']"
1-794,"Doctor Sleep (The Shining, #2)","['0-5176', '0-3981', '0-27022', '0-671', '0-4922', '0-5876', '0-5255', '0-39513']","['1-794', '1-325', '1-266', '1-142', '1-2', '1-682', '1-510', '1-653', '1-39', '1-665', '1-283']"
0-8844,Jumanji,"['0-8844', '0-218', '0-41733', '0-280', '0-18785', '0-10201', '0-14160', '0-275', '0-559', '0-4547', '0-1930', '0-508', '0-82690']","['1-518', '1-340', '1-158', '1-328', '1-670', '1-504']"
0-321612,Beauty and the Beast,"['0-321612', '0-10020', '0-27205', '0-254', '0-267935', '0-6477', '0-399019', '0-5255', '0-809', '0-559', '0-1903', '0-810']","['1-615', '1-373', '1-28', '1-132', '1-259', '1-314', '1-322']"
0-240832,Lucy,"['0-240832', '0-411', '0-10140', '0-2454', '0-41630', '0-13053', '0-13885', '0-10201', '0-195589', '0-6114', '0-1574', '0-257344', '0-80321', '0-508']","['1-37', '1-292', '1-516', '1-295', '1-249']"
0-38365,Grown Ups,"['0-38365', '0-10555', '0-64688', '0-7191', '0-634', '0-534', '0-11631', '0-215', '0-1250', '0-35', '0-82690', '0-693']","['1-760', '1-558', '1-631', '1-120', '1-197', '1-724', '1-748']"
0-339988,The Circle,"['0-339988', '0-402', '0-8966', '0-285', '0-22', '0-58', '0-150689']","['1-591', '1-451', '1-10', '1-209', '1-39', '1-499', '1-118', '1-273', '1-389', '1-420', '1-682', '1-135']"
0-68726,Pacific Rim,"['0-68726', '0-72976', '0-68724', '0-87827', '0-101299', '0-62211', '0-2048', '0-644', '0-20504', '0-19995', '0-122', '0-68718', '0-72559', '0-855', '0-6479']","['1-751', '1-562', '1-283', '1-135']"
0-282035,The Mummy,"['0-282035', '0-1734', '0-676', '0-11324', '0-272', '0-6637', '0-27576', '0-82695', '0-1359', '0-2059', '0-49026']","['1-409', '1-486', '1-370', '1-345', '1-294', '1-53', '1-135', '1-176']"
0-263115,Logan,"['0-263115', '0-550', '0-33', '0-96721', '0-37799', '0-6637', '0-2059', '0-8456', '0-166424', '0-2770', '0-9738', '0-1584', '0-508', '0-6477', '0-11836']","['1-196', '1-286', '1-234', '1-151']"
0-24428,The Avengers,"['0-24428', '0-41630', '0-217', '0-77', '0-17431', '0-285']","['1-338', '1-171', '1-781', '1-768', '1-791', '1-195', '1-682', '1-368', '1-183', '1-499', '1-480', '1-60', '1-409']"
0-78,Blade Runner,"['0-78', '0-206647', '0-36647', '0-10144', '0-782', '0-402', '0-111', '0-680', '0-13', '0-679', '0-280', '0-954', '0-686']","['1-8', '1-265', '1-85', '1-271', '1-158', '1-54']"
0-176,Saw,"['0-176', '0-41630', '0-1272', '0-215', '0-72331', '0-214', '0-11917', '0-22804', '0-297762', '0-663', '0-83542', '0-72105']","['1-225', '1-475', '1-149', '1-522', '1-340', '1-325', '1-488']"
0-75656,Now You See Me,"['0-75656', '0-7191', '0-23168', '0-38365', '0-13223', '0-163', '0-298', '0-1949', '0-7220', '0-388', '0-80321', '0-64690', '0-1571', '0-4133']","['1-400', '1-123', '1-185', '1-617', '1-582']"
0-50619,The Twilight Saga: Breaking Dawn - Part 1,"['0-50619', '0-587', '0-162', '0-6947', '0-45269', '0-1562', '0-755', '0-36648', '0-1724', '0-3933', '0-8363']","['1-3', '1-52', '1-49', '1-56', '1-732', '1-46', '1-791', '1-150']"
0-10195,Thor,"['0-10195', '0-557', '0-559', '0-787', '0-10138', '0-267935', '0-605', '0-7453', '0-3981']","['1-167', '1-722', '1-373', '1-39', '1-528', '1-337', '1-70', '1-330', '1-135', '1-110']"
0-281957,The Revenant,"['0-281957', '0-35', '0-924', '0-9388', '0-4108', '0-36586', '0-1359', '0-36648', '0-5255', '0-1562', '0-7220', '0-508']","['1-654', '1-328', '1-626', '1-239', '1-788', '1-449', '1-624']"
0-98566,Teenage Mutant Ninja Turtles,"['0-98566', '0-676', '0-163', '0-4638', '0-956', '0-694', '0-621', '0-254', '0-7191', '0-12', '0-180', '0-1903', '0-73', '0-7551', '0-10193']","['1-72', '1-496', '1-82', '1-57']"
0-1930,The Amazing Spider-Man,"['0-1930', '0-557', '0-559', '0-41733', '0-411', '0-2059', '0-6637', '0-2454', '0-9738', '0-166424', '0-508', '0-8844']","['1-328', '1-518', '1-201', '1-241', '1-310', '1-666', '1-70']"
0-671,Harry Potter and the Philosopher's Stone,"['0-671', '0-675', '0-672', '0-767', '0-673', '0-674', '0-36955', '0-8321', '0-8966', '0-559', '0-95']","['1-2', '1-21', '1-18', '1-24', '1-23', '1-27', '1-479', '1-693']"
0-675,Harry Potter and the Order of the Phoenix,"['0-675', '0-767', '0-671', '0-672', '0-674', '0-673', '0-36955', '0-8321', '0-8966', '0-559', '0-95']","['1-21', '1-2', '1-24', '1-27', '1-18', '1-23', '1-479', '1-693']"
0-672,Harry Potter and the Chamber of Secrets,"['0-672', '0-671', '0-767', '0-675', '0-673', '0-674', '0-36955', '0-8321', '0-8966', '0-559', '0-95']","['1-23', '1-2', '1-21', '1-18', '1-24', '1-27', '1-479', '1-693']"
0-206647,Spectre,"['0-206647', '0-52520', '0-78', '0-9476', '0-10555', '0-58574', '0-834', '0-217', '0-18823', '0-65754', '0-49018', '0-3933']","['1-134', '1-309', '1-389', '1-336', '1-201', '1-747', '1-705']"
0-6479,I Am Legend,"['0-6479', '0-1562', '0-2252', '0-41733', '0-956', '0-955', '0-9444', '0-954', '0-17431', '0-2024', '0-106', '0-122', '0-61791']","['1-64', '1-172', '1-2', '1-182', '1-665', '1-640']"
0-1726,Iron Man,"['0-1726', '0-9552', '0-4133', '0-1246', '0-82690', '0-339988', '0-101299', '0-591', '0-45269', '0-240832']","['1-394', '1-384', '1-543', '1-418', '1-419', '1-465', '1-142', '1-201', '1-310']"
0-118,Charlie and the Chocolate Factory,"['0-118', '0-39254', '0-380', '0-9654', '0-5255', '0-585', '0-59967', '0-5176', '0-228150']","['1-158', '1-68', '1-271', '1-666', '1-675', '1-6', '1-516', '1-59', '1-703', '1-356']"
0-228150,Fury,"['0-228150', '0-59967', '0-72559', '0-644', '0-508', '0-587', '0-239', '0-118', '0-1949', '0-409']","['1-516', '1-556', '1-275', '1-34', '1-207', '1-123', '1-52', '1-86', '1-49']"
0-808,Shrek,"['0-808', '0-10192', '0-809', '0-810', '0-7220', '0-58595', '0-10191', '0-150689', '0-2310', '0-257344', '0-9502', '0-4442']","['1-708', '1-345', '1-135', '1-39', '1-2', '1-682', '1-700']"
0-16869,Inglourious Basterds,"['0-16869', '0-2253', '0-1272', '0-44826', '0-14574', '0-423', '0-12162', '0-634', '0-853', '0-855', '0-256591', '0-1562', '0-82690', '0-9738', '0-166424', '0-11430']","['1-241', '1-440', '1-300']"
0-68718,Django Unchained,"['0-68718', '0-2062', '0-810', '0-68724', '0-87827', '0-72976', '0-62211', '0-12', '0-2048', '0-809', '0-13223', '0-4442', '0-72559', '0-68726', '0-101299']","['1-150', '1-322', '1-135', '1-631']"
0-238,The Godfather,"['0-238', '0-948', '0-601', '0-4147', '0-834', '0-52520', '0-10764', '0-2048', '0-27576', '0-941', '0-772', '0-754', '0-629']","['1-504', '1-371', '1-265', '1-85', '1-670', '1-168']"
0-9806,The Incredibles,"['0-9806', '0-22', '0-693', '0-142', '0-10386', '0-58', '0-1865', '0-10200', '0-22538', '0-285', '0-36955']","['1-457', '1-124', '1-615', '1-640', '1-647', '1-312', '1-791', '1-482']"
0-150689,Cinderella,"['0-150689', '0-824', '0-1878', '0-810', '0-809', '0-45269', '0-7220', '0-58595', '0-20662', '0-808', '0-80321']","['1-504', '1-300', '1-416', '1-135', '1-39', '1-598', '1-682', '1-263']"
0-809,Shrek 2,"['0-809', '0-10192', '0-808', '0-810', '0-417859', '0-150689', '0-644', '0-767', '0-7220', '0-4442', '0-1359']","['1-748', '1-431', '1-416', '1-682', '1-624', '1-724', '1-631', '1-23']"
0-57214,Project X,"['0-57214', '0-322', '0-77', '0-36557', '0-8321', '0-61791', '0-672', '0-671', '0-675', '0-767', '0-298', '0-673', '0-674']","['1-572', '1-23', '1-2', '1-21', '1-18', '1-24']"
0-19995,Avatar,"['0-19995', '0-8456', '0-49849', '0-4442', '0-14564', '0-13186', '0-88', '0-310', '0-45269', '0-395']","['1-295', '1-86', '1-232', '1-725', '1-264', '1-757', '1-73', '1-612', '1-355']"
0-680,Pulp Fiction,"['0-680', '0-782', '0-1538', '0-745', '0-7518', '0-8363', '0-244786', '0-115', '0-948', '0-117', '0-627', '0-275', '0-755', '0-500']","['1-117', '1-202', '1-339', '1-48', '1-13']"
0-559,Spider-Man 3,"['0-559', '0-557', '0-1930', '0-41733', '0-671', '0-675', '0-672', '0-673', '0-767', '0-674', '0-411']","['1-328', '1-518', '1-2', '1-21', '1-18', '1-24', '1-23', '1-27']"
0-150540,Inside Out,"['0-150540', '0-693', '0-142', '0-22', '0-58', '0-1865', '0-285', '0-276907', '0-23168', '0-9335', '0-694']","['1-137', '1-124', '1-463', '1-640', '1-72', '1-142', '1-312', '1-647']"
0-10138,Iron Man 2,"['0-10138', '0-1771', '0-1724', '0-1927', '0-10195', '0-37799', '0-68724', '0-634', '0-49026', '0-508', '0-7191', '0-44943']","['1-110', '1-188', '1-135', '1-39', '1-165', '1-491', '1-562']"
0-10192,Shrek Forever After,"['0-10192', '0-808', '0-809', '0-810', '0-417859', '0-7220', '0-10191', '0-257344', '0-2270', '0-4442', '0-2310']","['1-39', '1-708', '1-135', '1-416', '1-345', '1-110', '1-137', '1-165']"
0-109445,Frozen,"['0-109445', '0-85350', '0-640', '0-3981', '0-322', '0-4133']","['1-622', '1-616', '1-436', '1-234', '1-258', '1-591', '1-328', '1-745', '1-115', '1-120', '1-578', '1-522', '1-369']"
0-39513,Paul,"['0-39513', '0-497', '0-257211', '0-1359', '0-44833', '0-693', '0-1949']","['1-243', '1-457', '1-488', '1-126', '1-111', '1-409', '1-622', '1-268', '1-354', '1-504', '1-357', '1-212']"
0-280,Terminator 2: Judgment Day,"['0-280', '0-218', '0-296', '0-534', '0-4547', '0-8844', '0-497', '0-72105', '0-214', '0-41733']","['1-340', '1-55', '1-325', '1-504', '1-297', '1-670', '1-255', '1-715', '1-488']"
0-277,Underworld,"['0-277', '0-88', '0-4108', '0-9335', '0-166424', '0-9738', '0-3131', '0-141', '0-1954', '0-11836']","['1-670', '1-90', '1-265', '1-85', '1-609', '1-179', '1-729', '1-294', '1-788']"
0-296,Terminator 3: Rise of the Machines,"['0-296', '0-280', '0-534', '0-218', '0-72105', '0-214', '0-497', '0-215', '0-787', '0-755', '0-20662', '0-663']","['1-340', '1-325', '1-64', '1-488', '1-575', '1-266', '1-55']"
0-27205,Inception,"['0-27205', '0-16320', '0-9477', '0-267935', '0-7453', '0-1903', '0-34544', '0-23483', '0-321612', '0-41733', '0-9654', '0-27578']","['1-201', '1-751', '1-86', '1-337', '1-620', '1-599', '1-259']"
0-22,Pirates of the Caribbean: The Curse of the Black Pearl,"['0-22', '0-285', '0-58', '0-1865', '0-693', '0-142', '0-694', '0-276907', '0-9479', '0-9335', '0-150540', '0-9806']","['1-124', '1-640', '1-72', '1-647', '1-312', '1-142', '1-28']"
0-215,Saw II,"['0-215', '0-214', '0-176', '0-663', '0-22804', '0-11917', '0-72105', '0-634', '0-534', '0-64688', '0-296']","['1-340', '1-325', '1-558', '1-258', '1-631', '1-488', '1-600', '1-36']"
0-12,Finding Nemo,"['0-12', '0-8698', '0-310', '0-1927', '0-10555', '0-272', '0-578', '0-49026', '0-46195', '0-68718', '0-98566', '0-1427', '0-587']","['1-130', '1-699', '1-310', '1-88', '1-757', '1-306']"
0-673,Harry Potter and the Prisoner of Azkaban,"['0-673', '0-675', '0-671', '0-767', '0-672', '0-674', '0-8321', '0-36955', '0-8966', '0-559', '0-95']","['1-18', '1-2', '1-21', '1-24', '1-23', '1-27', '1-479', '1-693']"
0-18785,The Hangover,"['0-18785', '0-23168', '0-8844', '0-107', '0-1250', '0-4232', '0-137', '0-8273', '0-11932', '0-87827', '0-11631', '0-4133']","['1-168', '1-666', '1-151', '1-163', '1-45', '1-703', '1-176']"
0-315837,Ghost in the Shell,"['0-315837', '0-86834', '0-663', '0-810', '0-4248', '0-557', '0-97020', '0-675']","['1-140', '1-691', '1-703', '1-400', '1-640', '1-41', '1-91', '1-666', '1-647', '1-312', '1-192']"
0-49026,The Dark Knight Rises,"['0-49026', '0-272', '0-155', '0-415', '0-364', '0-310', '0-414', '0-1927', '0-268', '0-605', '0-604', '0-534', '0-45612', '0-296', '0-12162']","['1-310', '1-627', '1-51', '1-295']"
0-534,Terminator Salvation,"['0-534', '0-296', '0-280', '0-218', '0-72105', '0-214', '0-497', '0-215', '0-787', '0-20662', '0-98', '0-38365', '0-663', '0-22804']","['1-340', '1-325', '1-488', '1-645', '1-55']"
0-218,The Terminator,"['0-218', '0-280', '0-534', '0-296', '0-4547', '0-8844', '0-71672', '0-497', '0-41733', '0-954', '0-364']","['1-645', '1-340', '1-504', '1-670', '1-55', '1-503', '1-297', '1-284']"
0-120,The Lord of the Rings: The Fellowship of the Ring,"['0-120', '0-121', '0-122', '0-44912', '0-17431', '0-14564', '0-388', '0-9738', '0-166424']","['1-19', '1-189', '1-155', '1-161', '1-7', '1-611', '1-170', '1-499', '1-747', '1-631']"
0-767,Harry Potter and the Half-Blood Prince,"['0-767', '0-675', '0-671', '0-672', '0-674', '0-673', '0-8321', '0-36955', '0-8966', '0-559', '0-95']","['1-27', '1-2', '1-21', '1-479', '1-24', '1-23', '1-18', '1-693']"
0-105,Back to the Future,"['0-105', '0-165', '0-196', '0-22970', '0-953', '0-4133', '0-10527', '0-621', '0-920', '0-600', '0-1585', '0-117', '0-402', '0-686']","['1-743', '1-32', '1-113', '1-225', '1-317']"
0-557,Spider-Man,"['0-557', '0-559', '0-1930', '0-41733', '0-411', '0-671', '0-672', '0-675']","['1-666', '1-328', '1-693', '1-518', '1-43', '1-2', '1-18', '1-21', '1-499', '1-24', '1-23']"
0-862,Toy Story,"['0-862', '0-863', '0-10193', '0-278', '0-350', '0-772', '0-950', '0-924', '0-1562', '0-1924', '0-568', '0-601', '0-679', '0-95']","['1-675', '1-234', '1-117', '1-126', '1-54']"
0-101299,The Hunger Games: Catching Fire,"['0-101299', '0-70160', '0-3933', '0-68724', '0-87827', '0-72976', '0-58595', '0-62211', '0-1493', '0-298', '0-166424', '0-9738', '0-68726']","['1-1', '1-20', '1-17', '1-484', '1-450', '1-286']"
0-106,Predator,"['0-106', '0-348', '0-9444', '0-8077', '0-395', '0-2252', '0-6479', '0-8078', '0-1573', '0-954', '0-679', '0-601', '0-927', '0-4232', '0-8844']","['1-64', '1-172', '1-321', '1-487']"
0-272,Batman Begins,"['0-272', '0-49026', '0-310', '0-155', '0-1927', '0-414', '0-415', '0-364', '0-268', '0-74', '0-12', '0-8698']","['1-310', '1-156', '1-455', '1-345', '1-305', '1-53', '1-658']"
0-550,Fight Club,"['0-550', '0-263115', '0-96721', '0-755', '0-1878', '0-364', '0-562', '0-620']","['1-196', '1-80', '1-547', '1-664', '1-405', '1-270', '1-457', '1-297', '1-8', '1-715', '1-173']"
0-57165,Wrath of the Titans,"['0-57165', '0-18823', '0-297762', '0-39254', '0-184315', '0-1966', '0-11970', '0-1927', '0-1734']","['1-41', '1-175', '1-159', '1-163', '1-151', '1-214', '1-286', '1-167', '1-428', '1-322']"
0-1724,The Incredible Hulk,"['0-1724', '0-1927', '0-27578', '0-76163', '0-10138', '0-8966', '0-1771', '0-50619', '0-310', '0-272', '0-1930', '0-77', '0-34544']","['1-660', '1-330', '1-665', '1-52', '1-3', '1-56']"
0-18823,Clash of the Titans,"['0-18823', '0-57165', '0-58', '0-184315', '0-767', '0-297762', '0-39254']","['1-41', '1-175', '1-167', '1-159', '1-163', '1-370', '1-27', '1-416', '1-2', '1-214', '1-429', '1-487']"
0-297762,Wonder Woman,"['0-297762', '0-57165', '0-176', '0-27582', '0-184315', '0-9654', '0-18823', '0-663', '0-395', '0-76726', '0-18360', '0-310', '0-924']","['1-41', '1-175', '1-214', '1-151', '1-169', '1-163']"
0-10591,The Girl Next Door,"['0-10591', '0-44826', '0-20504', '0-14564', '0-640', '0-22538', '0-12162', '0-2770', '0-855', '0-11615', '0-508', '0-1571', '0-37834', '0-1574']","['1-788', '1-133', '1-369', '1-667', '1-234']"
0-591,The Da Vinci Code,"['0-591', '0-11631', '0-2062', '0-267935', '0-388', '0-7220']","['1-26', '1-493', '1-201', '1-9', '1-312', '1-647', '1-635', '1-394', '1-373', '1-624', '1-652', '1-543', '1-436']"
0-674,Harry Potter and the Goblet of Fire,"['0-674', '0-675', '0-767', '0-671', '0-672', '0-673', '0-8321', '0-36955', '0-8966', '0-559', '0-95']","['1-24', '1-21', '1-2', '1-27', '1-23', '1-18', '1-479', '1-693']"
0-98,Gladiator,"['0-98', '0-534', '0-38757', '0-9477', '0-869', '0-10191', '0-36648', '0-38365', '0-1272', '0-23483', '0-36586']","['1-17', '1-294', '1-163', '1-1', '1-565', '1-268', '1-188', '1-428']"
0-122,The Lord of the Rings: The Return of the King,"['0-122', '0-120', '0-121', '0-17431', '0-11631', '0-9738', '0-166424', '0-508', '0-6479']","['1-189', '1-161', '1-155', '1-19', '1-499', '1-7', '1-340', '1-68', '1-611', '1-748']"
0-863,Toy Story 2,"['0-863', '0-862', '0-10193', '0-278', '0-350', '0-772', '0-10020', '0-813', '0-1573', '0-364', '0-9480', '0-409', '0-679', '0-311']","['1-675', '1-234', '1-295', '1-173', '1-66']"
0-68724,Elysium,"['0-68724', '0-72976', '0-87827', '0-62211', '0-1538', '0-101299', '0-68718', '0-39254', '0-72559', '0-68726', '0-10138', '0-82690', '0-75612', '0-6947', '0-608', '0-10200', '0-155']","['1-337', '1-70']"
0-694,The Shining,"['0-694', '0-621', '0-676', '0-73', '0-142', '0-693', '0-22', '0-163', '0-9479', '0-58', '0-4638', '0-602', '0-1865', '0-276907']","['1-72', '1-124', '1-518', '1-640', '1-28']"
0-76163,The Expendables 2,"['0-76163', '0-27578', '0-1724', '0-652', '0-1927', '0-8966', '0-34544', '0-333484', '0-27205', '0-955', '0-4232']","['1-705', '1-660', '1-321', '1-506', '1-465', '1-65', '1-86', '1-729']"
0-267935,The BFG,"['0-267935', '0-11631', '0-591', '0-27205', '0-321612', '0-4442', '0-10195', '0-1903']","['1-373', '1-635', '1-26', '1-624', '1-652', '1-493', '1-436', '1-443', '1-163', '1-724', '1-294']"
0-1927,Hulk,"['0-1927', '0-310', '0-1724', '0-272', '0-49026', '0-644', '0-8247', '0-414', '0-1903', '0-38050', '0-5876', '0-27578', '0-155', '0-52520', '0-12', '0-70981']","['1-310', '1-111', '1-187']"
0-39254,Real Steel,"['0-39254', '0-380', '0-1538', '0-118', '0-9654', '0-10386', '0-8456', '0-311', '0-57165', '0-5176', '0-2048', '0-9806']","['1-68', '1-271', '1-675', '1-666', '1-102', '1-158', '1-703']"
0-73,American History X,"['0-73', '0-694', '0-621', '0-4133', '0-676', '0-163', '0-4638', '0-603', '0-605', '0-278', '0-604', '0-755', '0-311', '0-500', '0-8077']","['1-72', '1-349', '1-173', '1-317']"
0-121,The Lord of the Rings: The Two Towers,"['0-121', '0-120', '0-122', '0-17431', '0-44912', '0-58595', '0-508']","['1-155', '1-189', '1-19', '1-161', '1-7', '1-499', '1-340', '1-39', '1-135', '1-170', '1-68', '1-165']"
0-11036,The Notebook,"['0-11036', '0-86834', '0-6947', '0-824', '0-4922', '0-2567', '0-150689', '0-1903', '0-1250', '0-2770', '0-19913']","['1-44', '1-665', '1-553', '1-504', '1-232', '1-522', '1-467', '1-325']"
0-214,Saw III,"['0-214', '0-663', '0-215', '0-22804', '0-72105', '0-176', '0-567', '0-534', '0-11917', '0-296', '0-497', '0-787', '0-20662', '0-77', '0-652']","['1-340', '1-325', '1-488', '1-55']"
0-61791,Rise of the Planet of the Apes,"['0-61791', '0-869', '0-27578', '0-57214', '0-2024', '0-1562', '0-955', '0-6479', '0-1930', '0-80321', '0-1949', '0-953', '0-7191', '0-9335']","['1-107', '1-515', '1-388', '1-665', '1-111']"
0-425,Ice Age,"['0-425', '0-950', '0-8355', '0-57800', '0-4133', '0-74', '0-80321', '0-395', '0-285783', '0-644', '0-7518', '0-10193', '0-953', '0-1927']","['1-732', '1-467', '1-408', '1-436', '1-354']"
0-22970,The Cabin in the Woods,"['0-22970', '0-165', '0-105', '0-196', '0-953', '0-7551', '0-10527', '0-620', '0-2978', '0-36955', '0-13186', '0-8363', '0-924', '0-80321']","['1-786', '1-8', '1-176', '1-652', '1-723']"
0-27578,The Expendables,"['0-27578', '0-76163', '0-1724', '0-1927', '0-61791', '0-8966', '0-587', '0-34544', '0-27205', '0-462', '0-12162', '0-5255', '0-508', '0-9654', '0-855', '0-9480']","['1-660', '1-626', '1-588']"
